Discrete Queue Name,ProducerName,ConsumerName,Primary App_Full_Name,queue_manager_name,app_id,line_of_business,cluster_name,cluster_namelist,def_persistence,def_put_response,inhibit_get,inhibit_put,remote_q_mgr_name,PrimaryAppDisp,PrimaryAppRole,q_type,Primary Neighborhood,Primary Hosting Type,Primary Enterprise Critical Payment,Primary PCI,Primary Publicly Accessible,Primary TRTC
8A.QUEUE.000,Producer_9SDC,Consumer_9SDC,App_Full_0,WL6ER4D,8FVC,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Alias,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.001,Producer_8A,Consumer_8SOR,App_Full_1,WL6ER4D,8AFK,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Alias,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.002,Producer_PPCSM,Consumer_8AFK,App_Full_2,DC6Z098V,8SOR,TECHCT,,,No,Synchronous,Enabled,Enabled,WL6EX2C,Full App Retire,Producer,Alias,Wholesale Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.003,Producer_PPCSM,Consumer_8AFK,App_Full_3,WO30,8SOR,TECHCCIBT,CLUS1,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Alias,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.004,Producer_8FVC,Consumer_8AFK,App_Full_4,WQ26,8SOR,TECHEFT,,,No,Synchronous,Disabled,Enabled,WL6ER2D,Active,Consumer,Alias,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.005,Producer_8AFK,Consumer_PPCSM,App_Full_5,WL6EX2C,PPCSM,TECHCOO,CLUS1,,No,Synchronous,Enabled,Enabled,WL6ER2D,Full App Retire,Consumer,Remote,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.006,Producer_OK,Consumer_8SOR,App_Full_6,WQ26,PPCSM,TECHEFT,,,No,Synchronous,Disabled,Enabled,,Active,Consumer,Alias,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.007,Producer_8FVC,Consumer_8FVC,App_Full_7,WL6ER2D,8FVC,TECHCOO,CLUS1,,Yes,Synchronous,Disabled,Enabled,,Active,Producer,Alias,Core Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.008,Producer_8ASE,Consumer_8AFK,App_Full_8,WL6EX2C,9SDC,TECHCCIBT,,,No,Synchronous,Disabled,Enabled,WQ26,Full App Retire,Consumer,Local,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
OK.QUEUE.009,Producer_8AFK,Consumer_8A,App_Full_9,WO30,8FVC,TECHEFT,,,Yes,Synchronous,Disabled,Enabled,WQ26,Full App Retire,Producer,Remote,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
