,Question,esgType,esgIndicators,primaryDetails,secondaryDetails,Answer
0,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For Regal Rexnord",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
1,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For Regal Rexnord",Environment,NetZeroTarget,,,"{2050, 4}"
2,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For Regal Rexnord",Environment,InterimEmissionsReductionTarget,,,"{ 2032, 4 }"
3,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For Regal Rexnord",Environment,RenewableElectricityTarget,,,"{ NULL, NULL }"
4,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For Regal Rexnord",Environment,CircularityStratergy,,,"{ NULL, NULL }"
5,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For Regal Rexnord",Social,DE&ITarget,,string,"{ NULL, NULL}"
6,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For Regal Rexnord",Goverance,HealthAndSafetyTarget,,string,"{NULL,NULL}"
7,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For Regal Rexnord",Goverance,SuppluAuditTarget,,string,"{100% of direct suppliers, 10}"
8,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Regal Rexnord",Reporting,SBTi,,string,NULL
9,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Regal Rexnord",Reporting,CDP,,string,"{ CDP rating , 4 }"
10,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For Regal Rexnord",Reporting,GRI,,string,"{ GRI rating target value: 4, page number: 10 }"
11,is the entity focussing on ESG assurance For Regal Rexnord,Reporting,Assurance,,string,"Yes, Regal Rexnord is focussing on ESG assurance."
12,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For AMETEK",ESGScore,MSCISustainalytics,,,"NULL, NULL"
13,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For AMETEK",Environment,NetZeroTarget,,,"{ 2050 , 4}"
14,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For AMETEK",Environment,InterimEmissionsReductionTarget,,,"{ NULL, NULL }"
15,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For AMETEK",Environment,RenewableElectricityTarget,,,"{ NULL, NULL }"
16,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For AMETEK",Environment,CircularityStratergy,,,"{ NULL, NULL }"
17,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For AMETEK",Social,DE&ITarget,,string,"{ NULL, NULL}"
18,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For AMETEK",Goverance,HealthAndSafetyTarget,,string,"{100% of facilities to be audited annually , 10}"
19,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For AMETEK",Goverance,SuppluAuditTarget,,string,"{100% of suppliers to be audited annually, 10}"
20,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For AMETEK",Reporting,SBTi,,string,NULL
21,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For AMETEK",Reporting,CDP,,string,"{ CDP rating , 4 }"
22,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For AMETEK",Reporting,GRI,,string,NULL
23,is the entity focussing on ESG assurance For AMETEK,Reporting,Assurance,,string,NULL
24,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For Crane",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
25,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For Crane",Environment,NetZeroTarget,,,"{ 2050 , 4}"
26,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For Crane",Environment,InterimEmissionsReductionTarget,,,"{ 20% by 2025, 10 }"
27,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For Crane",Environment,RenewableElectricityTarget,,,"{ 100% by 2030, 10 }"
28,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For Crane",Environment,CircularityStratergy,,,"{ NULL, NULL }"
29,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For Crane",Social,DE&ITarget,,string,"{ , }"
30,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For Crane",Goverance,HealthAndSafetyTarget,,string,"{100%, 10}"
31,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For Crane",Goverance,SuppluAuditTarget,,string,"{100% of suppliers audited annually, 10}"
32,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Crane",Reporting,SBTi,,string,NULL
33,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Crane",Reporting,CDP,,string,"{ CDP rating , 4 }"
34,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For Crane",Reporting,GRI,,string,NULL
35,is the entity focussing on ESG assurance For Crane,Reporting,Assurance,,string,NULL
36,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For IDEX",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
37,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For IDEX",Environment,NetZeroTarget,,,"{ 2050 , 4}"
38,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For IDEX",Environment,InterimEmissionsReductionTarget,,,"{ 20% by 2030, 4 }"
39,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For IDEX",Environment,RenewableElectricityTarget,,,"{ 100% by 2030, 10 }"
40,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For IDEX",Environment,CircularityStratergy,,,"{ Circularity Stratergy & targets value: NULL,page number: NULL }"
41,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For IDEX",Social,DE&ITarget,,string,"{ , 8 }"
42,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For IDEX",Goverance,HealthAndSafetyTarget,,string,"{100% of facilities to be audited annually , 10}"
43,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For IDEX",Goverance,SuppluAuditTarget,,string,"{100% of suppliers to be audited annually, 10}"
44,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For IDEX",Reporting,SBTi,,string,NULL
45,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For IDEX",Reporting,CDP,,string,"{ CDP rating , 4 }"
46,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For IDEX",Reporting,GRI,,string,NULL
47,is the entity focussing on ESG assurance For IDEX,Reporting,Assurance,,string,NULL
48,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For ESCO",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
49,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For ESCO",Environment,NetZeroTarget,,,"{ 2050 , 4}"
50,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For ESCO",Environment,InterimEmissionsReductionTarget,,,"{ 20% by 2030, 4 }"
51,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For ESCO",Environment,RenewableElectricityTarget,,,"{ 100%, 10 }"
52,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For ESCO",Environment,CircularityStratergy,,,"{ NULL, NULL }"
53,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For ESCO",Social,DE&ITarget,,string,"{ 50% of new hires to be from underrepresented groups by 2025, 10 }"
54,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For ESCO",Goverance,HealthAndSafetyTarget,,string,"{100%, 10}"
55,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For ESCO",Goverance,SuppluAuditTarget,,string,"{100% of ESCOs to be audited annually, 10}"
56,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For ESCO",Reporting,SBTi,,string,NULL
57,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For ESCO",Reporting,CDP,,string,"{ CDP rating , 4 }"
58,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For ESCO",Reporting,GRI,,string,"{ GRI rating target value,page number For ESCO : 4, 10 }"
59,is the entity focussing on ESG assurance For ESCO,Reporting,Assurance,,string,NULL
60,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For Nordson",ESGScore,MSCISustainalytics,,,"{ A, 4 }"
61,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For Nordson",Environment,NetZeroTarget,,,"{2050, 4}"
